roi_id,wafer,z_true,direct_label,p_normal,p_surface,p_subsurface
A_2_000,A,2,2,0.1353,0.2133,0.6514
A_2_001,A,2,2,0.1037237753882995,0.1430199020553382,0.7532563225563622
A_2_002,A,2,2,0.1572361371119838,0.159550246659683,0.6832136162283331
A_2_003,A,2,2,0.114596154903862,0.0526237555836,0.8327800895125379
A_2_004,A,2,2,0.225432894803091,0.170362139357035,0.6042049658398739
A_2_005,A,2,2,0.0517017764949615,0.120294240890442,0.8280039826145964
A_2_006,A,2,1,0.0604526041630546,0.5195456271831581,0.4200017686537872
A_2_007,A,2,0,0.7427307937945092,0.1559146959546495,0.1013545102508412
A_2_008,A,2,0,0.5357201395163698,0.2113534509167376,0.2529264095668926
A_2_009,A,2,1,0.1693932483892289,0.4937544963439992,0.3368522552667717
A_2_010,A,2,1,0.0582,0.6569,0.2849
A_2_011,A,2,2,0.1143138528076554,0.0770793848579041,0.8086067623344404
A_2_012,A,2,1,0.1236559911808928,0.5041854462812019,0.3721585625379053
A_2_013,A,2,2,0.1940609483208246,0.1358862302723286,0.6700528214068467
A_2_014,A,2,1,0.1693932483892289,0.4937544963439992,0.3368522552667717
A_2_015,A,2,2,0.2495136637581359,0.1471128127155289,0.6033735235263351
A_2_016,A,2,2,0.227095347926483,0.1719173636614843,0.6009872884120326
A_2_017,A,2,2,0.0111,0.1178,0.8711
A_2_018,A,2,2,0.043098192963649,0.0857658460371432,0.8711359609992078
A_2_019,A,2,2,0.0710568378043249,0.0531278145323451,0.8758153476633299
A_2_020,A,2,2,0.0666,0.0205,0.9129
A_2_021,A,2,1,0.1693932483892289,0.4937544963439992,0.3368522552667717
A_2_022,A,2,2,0.1214014770927847,0.0630553096691308,0.8155432132380844
A_2_023,A,2,2,0.1506619680935362,0.2375310841637398,0.6118069477427239
A_2_024,A,2,2,0.1666276125280565,0.1430062396293361,0.6903661478426073
A_2_025,A,2,2,0.2088627465555718,0.2128764814151028,0.5782607720293254
A_2_026,A,2,2,0.1226551940896708,0.0708132075391703,0.8065315983711587
A_2_027,A,2,0,0.4346530013205316,0.386884844351564,0.1784621543279043
A_2_028,A,2,0,0.5925545897751892,0.2436903666243488,0.1637550436004619
A_2_029,A,2,2,0.114596154903862,0.0526237555836,0.8327800895125379
A_2_030,A,2,2,0.002,0.072,0.926
A_2_031,A,2,1,0.0277500515610059,0.8723635599228589,0.0998863885161352
A_2_032,A,2,2,0.1506619680935362,0.2375310841637398,0.6118069477427239
A_2_033,A,2,2,0.214620865765421,0.2337643939424076,0.5516147402921713
A_2_034,A,2,2,0.0780594777571629,0.074734875605058,0.8472056466377791
A_2_035,A,2,1,0.1721,0.5581,0.2698
A_2_036,A,2,1,0.0941,0.4173,0.4886
A_2_037,A,2,1,0.123498038959487,0.5166452626140453,0.3598566984264676
