roi_id,wafer,z_star,Direct_error,Predictive entropy,Inverse margin,Direct-U head,DINOv2 anomaly,Conventional KD,Privileged student,Multimodal teacher
A_2_000,A,2,0,2.101537691696853,3.476800460927405,2.5071969956641955,2.748238011947384,3.777608012556728,4.0714504181421365,4.343259642970544
A_2_001,A,2,0,2.473431921885588,2.406951708797761,2.566722993497639,0.7721987754614876,2.562637666367021,4.254537018517793,4.324742859253713
A_2_002,A,2,0,1.757327680797228,2.2916202710620364,2.182602517264804,1.5398073745380774,3.2777110926610784,4.267514060048443,4.488692945141225
A_2_003,A,2,0,0.9867602015534074,2.987267260484156,4.243143685856401,2.4064227750615768,4.056950573783159,4.247797943790991,4.740252797175138
A_2_004,A,2,0,1.5316615185353468,3.494767448831079,2.727728914225565,2.633440157912096,3.39905293811656,3.798622420208485,4.583632943459891
A_2_005,A,2,0,0.8604418062544221,2.0105875425502866,2.795824175033704,1.1669122784726682,3.491713879452567,4.537855063287016,4.353765495029546
A_2_006,A,2,1,2.675179503246798,3.0693603203592303,2.692311353049344,1.4557668951442262,4.254220845004301,7.581742834912507,9.193737885960193
A_2_007,A,2,1,4.275269056943167,3.1787976185810543,2.357241923461733,0.4135837002883302,4.9089432741750105,8.646487932786895,9.22837508724629
A_2_008,A,2,1,1.984741851810838,3.435889186298009,3.515918260656232,3.632187826486932,4.693327222032611,7.181427210830915,9.145174766054778
A_2_009,A,2,1,1.8244063752250743,2.3966443231011487,3.6514495416747543,2.246583158577049,5.855096932951992,7.547893966268967,9.294573634684628
A_2_010,A,2,1,3.212302562731498,4.419752093740457,1.2488396384658178,0.0516417364341716,5.227118255539137,8.55917347453592,8.286836616863358
A_2_011,A,2,0,2.546108760200076,1.9565945518861287,3.2544896047821554,1.609121791577186,3.000969114123829,4.0691469814828025,4.881666951393919
A_2_012,A,2,1,2.7317678112473733,3.829438787973736,3.063823201027177,2.329685925913278,2.5457020347547865,7.759347933745368,8.523253508630246
A_2_013,A,2,0,0.9369149441147442,1.5299471737330943,3.160700072708934,2.242650457347352,3.895137330265632,4.507827184975528,4.911206522243463
A_2_014,A,2,1,2.5634352219209084,3.718817093635895,3.016178780746774,3.7206085339236097,5.260267601077198,7.55589367629953,9.089697565530075
A_2_015,A,2,0,2.96912899307286,2.79882981978547,0.9557302770301253,3.3407131979745053,2.4712568316174632,4.27735037965968,4.934110008248728
A_2_016,A,2,0,0.4197318158936476,1.934027943199914,1.0270835491674344,0.9273537683910758,1.504360522752814,3.02411428229396,4.320458528242995
A_2_017,A,2,0,1.5279802986997275,4.4958490739320105,4.02459052914495,1.4863547129921946,2.22512467952893,3.889056044977956,3.8597379038515873
A_2_018,A,2,0,-0.2765284247510551,2.781965480730965,2.4524238686470468,0.0328203016336967,4.056754532255682,3.95643914747606,4.970879971039244
A_2_019,A,2,0,0.4880778252687801,4.257544302487696,0.7827445058411331,1.9453540953346895,2.362011465124877,4.545728451494263,4.564434029055642
A_2_020,A,2,0,-0.2021687972396653,3.3843938978567736,2.548132000108108,1.7933723799604044,2.818595735467424,4.583567896871532,4.375659308623438
A_2_021,A,2,1,2.3061360861566484,2.6466843957776867,2.187876396725915,4.813499464646913,4.805626723165828,7.65138265978082,9.121495925331311
A_2_022,A,2,0,0.5156918981953711,1.994214385231652,0.3565860441983388,1.7629899636069015,4.322754951165274,5.114050493134975,4.973524002923679
A_2_023,A,2,0,2.439080448527127,2.838759821048738,-0.0901881717105066,-1.004860175166571,3.207976991560649,3.8816572076114575,4.729835814598954
A_2_024,A,2,0,2.295938858280281,2.441041518262047,0.5973333057971881,0.7635126112820179,3.121912211618717,3.1133313668656384,4.421143580461466
A_2_025,A,2,0,1.866336319212557,2.4475726138565954,2.471792542628656,1.7817133444257742,2.8160316593430026,3.12089146381537,3.826906526261472
A_2_026,A,2,0,-1.045949638525641,2.082484190312058,2.151927781886531,0.0459796690696669,4.618052439823689,4.966474964828207,4.204086615153423
A_2_027,A,2,1,1.926633880191704,1.442244368403659,2.300840809374696,0.3482794787989482,5.520635982882856,8.026532585706061,9.12322535656334
A_2_028,A,2,1,2.5393738182486603,3.091404435595871,2.834678153795956,0.9491726620900648,4.481579950785589,7.62931418309243,9.740151949914376
A_2_029,A,2,0,2.2416362325041344,0.0559986281145792,2.801130426813005,2.047316873548969,2.053012436725882,3.8412863778778927,4.581680547723094
A_2_030,A,2,0,0.1873302931182581,2.781691179063768,0.0974925604650045,1.425883749663813,2.593376440751465,3.7254174468438666,4.4361971675355525
A_2_031,A,2,1,2.002808404957587,2.567653104630679,2.248848817855016,0.2984869535508727,5.062614519000381,8.646240918555913,9.49200356013034
A_2_032,A,2,0,0.8768511524292006,1.629665087842895,1.3720853496457155,2.596306843766195,2.610154580927204,4.135732328412889,4.313035118260872
A_2_033,A,2,0,1.088953450718001,2.1648908150718547,0.9668050222108382,0.9657727890609888,4.039071211839305,5.201542279456418,4.508049644708588
A_2_034,A,2,0,3.4261232792325984,2.6660604106776766,1.6527987219409996,0.9853728398693252,3.526257542615016,4.068288681635356,4.421989272685267
A_2_035,A,2,1,1.5905816558351296,1.8449008924077328,2.427127902205729,-0.2775497318781346,4.892783199447107,6.96142016118811,8.483629369569428
A_2_036,A,2,1,2.5593478688180995,1.5026869027605003,2.283643543440384,0.4449166266308273,5.1603006669331055,8.470680336871565,9.480949586764131
A_2_037,A,2,1,3.705487334228968,2.2205262647301174,1.0953326865642747,2.2445053544662854,5.033381389839403,7.874961121824166,9.254713827709155
A_2_038,A,2,1,1.8704994590708728,1.1852058124675375,2.066850485357395,-0.6140295224147958,3.839177942464589,7.842638576100747,8.816401195073752
A_2_039,A,2,0,1.9603725630198008,1.363303771096965,4.215832891923969,1.518024604669317,2.9370279203227074,4.94009943750498,3.823895059846578
A_2_040,A,2,0,2.2380801790618507,4.0565762440429145,1.145445155953569,2.5194544030812014,5.23343992146078,4.093647581963575,4.518285201812825
